id,name,sort order,item type,properties,slots,level,effect,e value,fire,earth,water,wind,categories,equip size,character,HP,MP,ATK,DEF,SPD,Gather,Drop,Note,EN Name,EN Description,JA Name,JA Description
24,star-fruit,1,Material,"destructive-power-up-plus,",2,1,50,10,1,,,,"plant,fruit,,",,",,,,,,,,,,,",,,,,,"land-of-fallen-stars,lush-valley,,,","grass-element,,",,Star Fruit,"Treefruit in the shape of a star. There are edible seeds in the center of the fruit. The thorn shaped protrusions are also high in nutrients, but since they're extremely hard, it's usually impossible to eat them.",星の実,星の形をした木の実。実の中央を割ると食用の種が出てくる。出っ張ったトゲ状の部分も栄養価は高いが、ものすごく固いため食べられることはあまりない
83,ore-pumpkin,2,Material,",",1,10,30,10,1,,,,"plant,,,",,",,,,,,,,,,,",,,,,,"crystal-valley,geofront,,,",",,",,Ore Pumpkin,"While it may look normal, this pumpkin's hardness rivals that of metal ores. Due to its hardness, there are numerous cases of it being used as a deadly weapon, earning it the nickname ""Murder Pumpkin.""",鉱石かぼちゃ,見た目は普通だが、その硬さは鉱石にも匹敵するというかぼちゃ。あまりの硬さにこのかぼちゃを凶器とした事件が多発しており「マーダーパンプ」の異名を持つ
84,sand-pumpkin,3,Material,",",1,2,50,10,,1,,,"plant,vegetable,,",,",,,,,,,,,,,",,,,,,"solice-trade-camp,lush-valley,plaza-of-great-trees,,","bitter-squirrel,,",,Sand Pumpkin,"While it may be small, this hardy pumpkin can grow quite well with only a tiny amount of water. It is very popular with people in regions suffering from droughts, and it is grown and cherished as a staple food crop in numerous areas.",砂地かぼちゃ,少量の水でも立派に育つこぶりだが逞しいかぼちゃ。干ばつに苦しむ地域の人達を中心に広がり、現在では多くの地域で主菜として親しまれている
398,water,4,Material,",",2,1,50,20,,,1,,"water,liquid,,",,",,,,,,,,,,,",,,,,,",,,,",",,",,Water,"Water, a substance essential for human life. However, the number of regions with wells drying up increases with each passing day, and the price of water is growing quite high.",水,人々の生活を支える水。ただし、昨今では井戸が涸れる地域が増えてきており、水そのものの価値は高まってきている
118,rich-milk,5,Material,"healing-power-up,",2,2,60,20,,,1,,"liquid,oil,,",,",,,,,,,,,,,",,,,,,",,,,",",,",Katla's Shop,Rich Milk,"Fresh milk taken from livestock. It's good for many uses from drinking to cooking, but the amount harvested continues to shrink, and its market price only keeps climbing.",濃厚ミルク,家畜から取れた新鮮なミルク。飲用から食用まで幅広く使われるが、取れる量は減り続けており、市場価格は高騰を続けている
19,shelbani-wheat,6,Material,",",2,1,50,10,,1,,1,"plant,grain,,",,",,,,,,,,,,,",,,,,,"fertile-sea,fertile-sea-eastern-area,solice-trade-camp,,",",,",,Shelbani Wheat,Hardy wheat that can even grow in harsh environments. It is a valuable source of carbohydrates in arid regions. Its peculiar red color is said to have evolved as a way of warding off insects.,シェルバニ麦,厳しい環境でも育つ逞しい麦。乾燥地帯においては貴重な炭水化物源となる。特徴である赤色の穂先は、害虫を避けるために独自の進化を遂げた結果だと言われる
22,palma,7,Material,",",1,3,60,15,,1,,,"plant,,,",,",,,,,,,,,,,",,,,,,"green-desert,lush-valley,plaza-of-great-trees,,","tree-element,,",,Palma,"A common tree used for construction and other things. It has low durability, and is difficult to process, but it grows in any environment, and is much easier to obtain than other lumber. This makes it the wood of choice for everyday use.",パルマ,建築などに使われる一般的な木。耐久性が低く、加工もしづらいが、土地を選ばず育ち、ほかの木材と比べて入手しやすいため、日常的に使われるようになった
21,taun,8,Material,"effect-stability,",0,0,50,10,,1,,,"plant,magic-herb,medic-ing,",,",,,,,,,,,,,",,,,,,"fertile-sea,plaza-of-great-trees,hidden-forest,,","fruit-hamster,flower-element,",,Taun,"A plant seen commonly around Stellard. It's easy to obtain, and easy to work with, making it an excellent starting material for alchemy.",トーン,ステラードで一般的に見られる植物。手に入りやすく、加工も容易なため、錬金術の初歩的な材料としても用いられる
252,verdant-taun,9,Material,",",2,1,60,15,,1,1,,"plant,magic-herb,vegetable,",,",,,,,,,,,,,",,,,,,"fertile-sea,heaven-s-vine,geofront,,",",,",,Verdant Taun,A deep green Taun brimming with life energy. It grows in areas with abundant water and clean air. It is a valuable plant not found in ruined lands.,新緑トーン,青々とした生命力溢れるトーン。豊富な水と美しい空気のある場所で育まれた。荒廃した土地では見られない貴重な植物
253,mutated-taun,10,Material,",",4,2,40,10,,,1,1,"plant,magic-herb,elixir,",,",,,,,,,,,,,",,,,,,"land-of-the-dead,herb-garden-depths,geofront,,",",,",,Mutated Taun,"Taun that has changed to adapt to a harsh environment. Besides its appearance, its internal compounds have also changed, making it more difficult to process.",変異トーン,過酷な環境に適応して姿を変えたトーン。見た目だけでなく構成する成分まで通常のトーンとは異なるため、加工が若干難しい
254,trio-taun,11,Material,",",3,17,80,35,,1,,,"plant,magic-herb,medic-ing,mystery",,",,,,,,,,,,,",,,,,,"herb-garden,seat-of-eternity,geofront,,",",,",,Trio Taun,"A combination of 3 different types of Taun. Though it seems like it should be 3 times better than normal Taun, due to dividing the nutrients, each individual is smaller than usual.",三つ子トーン,株が三つくっついたトーン。通常のトーンと比べて三倍お得かと思いきや、栄養が分散してしまっているため、一つ一つの株は小さかったりする
109,lentil,12,Material,",",1,1,50,10,,1,,,"plant,grain,,",,",,,,,,,,,,,",,,,,,"fertile-sea-northern-area,spine-post,plaza-of-great-trees,,",",,",,Lentil,"An edible legume commonly used in soups and stews. When planted, they grow vines up around waist height, and bloom beautiful white flowers.",レンズ豆,スープや煮込み料理に用いられる食用豆。植えて育てると、大人の腰に達するほどのツタを伸ばし、白く美しい花をつける
110,big-lentil,13,Material,",",3,8,70,20,,1,,,"plant,grain,oil,",,",,,,,,,,,,,",,,,,,"heaven-s-vine,altar-of-spirits,geofront,,",",,",,Big Lentil,"Black beans 3 to 4 times the size of normal lentils. While edible, they aren't very popular due to their dull and unappetizing appearance. They're also quite hard, and painful when thrown.",オオオニレンズ豆,レンズ豆の三倍から四倍の大きさを誇る黒い豆。食用にも使えるが、その無味乾燥な見た目のためにあまり流通はしない。ぶつけるとそれなりに痛い
89,umbrella-tree-strawberry,14,Material,"fixed-healing-enhance-plus,",2,10,70,20,,,1,1,"plant,fruit,aroma,",,",,,,,,,,,,,",,,,,,"herb-garden,herb-garden-depths,the-furthest-village,woods-of-eternal-night,",",,",,Umbrella Tree Strawberry,"This strawberry is a special product of certain regions. The big, hard umbrella protecting the fruit is a unique feature. While they aren't very sweet, it's said they can be fermented into alcohol.",おおがさ木イチゴ,一部の地域で特産物になっているイチゴ。果実を守る傘の部分が大きく、固いのが特徴。甘味はほとんどないが、発酵させるとお酒の元になるらしい
255,beehive,15,Material,",",1,2,50,10,,,,1,"bee-hive,fuel,,",,",,,,,,,,,,,",,,,,,"fertile-sea,heaven-s-vine,herb-garden-depths,plaza-of-great-trees,hidden-forest","heavy-skin,steel-skin,marine-skin",,Beehive,"A common beehive found anywhere. It's filled with nutritious honey. Trying to take these carelessly will result in bee stings, so one must be cautious.",ハチの巣,どこにでもあるハチの巣。中には栄養価の高いハチミツがたっぷりと詰まっている。うかつに手に取ると、ハチにさされるので注意が必要
256,silver-beehive,16,Material,",",2,5,70,15,1,,,1,"bee-hive,fuel,,",,",,,,,,,,,,,",,,,,,"fertile-sea,heaven-s-vine-root-division,geofront,,",",,",,Silver Beehive,"A shining silver beehive. The honey contained within is more nutritious than normal. Also, the beehive itself is delicious when fried.",銀色のハチの巣,銀色に輝くハチの巣。通常のハチの巣よりもさらに栄養価が高いハチミツが取れる。また、ハチの巣を揚げて食べても美味である
257,golden-beehive,17,Material,",",3,20,90,15,1,1,,1,"bee-hive,fuel,jewel,",,",,,,,,,,,,,",,,,,,"herb-garden-depths,geofront,,,",",,",,Golden Beehive,"A glistening golden beehive. It is extremely valuable, and the golden honey inside is well known as a high class item. The beehive itself is also famous among gourmets as a delicacy.",金色のハチの巣,金色にきらめくハチの巣。非常に貴重で、中に詰まっている黄金のミツは高級品として知られている。ハチの巣そのものも、珍味として美食家の間で有名
258,red-clay,18,Material,"area-bonus,speed-5",1,2,60,15,1,,,,"clay,medic-ing,,",,",,,,,,,,,,,",,,,,,"fertile-sea-eastern-area,geofront,abandoned-factory,,","sand-spirit,,",,Red Clay,"Red soil that is also highly viscous. It's commonly used as a pigment, and a material for pottery. It is said that the weathering and oxidation of limestone accounts for its powerful red coloration.",朱粘土,赤みを帯びた粘性の強い土。顔料や陶器の材料に使われることが多い。石灰岩が風化、酸化して強い赤みを帯びたと言われる
259,blue-clay,19,Material,"small-number-bonus,attack-power-5",2,2,60,20,,,1,,"clay,ore,,",,",,,,,,,,,,,",,,,,,"land-of-the-dead,hill-of-silence,geofront,sea-of-eternity,","dusk-spirit,,",,Blue Clay,"Blue soil that is also highly viscous. It's commonly used as a pigment, and a material for pottery. There are many theories to explain its coloration, from the color of the lost oceans, to the blueness of the sky.",蒼粘土,青みを帯びた粘性の強い土。顔料や陶器の材料に使われることが多い。失われた海の青さを閉じ込めた、空の青さが落ちてきたなど、その色の由来は諸説ある
260,green-clay,20,Material,"use-up-enhance,mp-10",2,2,60,20,,,,1,"clay,plant,,",,",,,,,,,,,,,",,,,,,"crystal-valley,geofront,hidden-forest,hole-of-the-dead,","azure-spirit,,",,Green Clay,"Green soil that is also highly viscous. It's commonly used as a pigment, and a material for pottery. It's said that the coloration is a result of a species of moss being absorbed into the soil.",碧粘土,緑色を帯びた粘性の強い土。顔料や陶器の材料に使われることが多い。コケの一種が土と同化してこの色になったと言われている
261,marine-clay,21,Material,"count-compression,hp-10",1,1,30,10,,1,,,"clay,seasoning,,",,",,,,,,,,,,,",,,,,,"fertile-sea-northern-area,eastern-sea-of-smoke,land-of-fallen-stars,sandy-shore,","ore-rat,amber-spirit,",,Marine Clay,"Highly viscous soil. This clay can be found in areas where the ocean used to exist, and is often used by historians and archaeologists as a research material.",海底粘土,粘性の強い土。この粘土が取れる場所にはかつて海があったとされ、歴史学者や考古学者の研究材料になることもしばしば
262,animal-meat,22,Material,"effect-power-increase,",1,0,50,20,,1,,,"meat,smelly,,",,",,,,,,,,,,,",,,,,,",,,,","stray-dog,sea-wolf,howling-beast",,Animal Meat,"Nobody knows for sure what this animal meat came from. The animal meat available on the market ranges from delicious to disgusting, making it extremely hit or miss.",ケモノ肉,元が何だったかは誰もわからないケモノの肉。市場に出回っているケモノ肉はおいしいものからマズイものまでさまざまで、とにかく当たり外れが激しい
263,fresh-meat,23,Material,",",2,1,60,15,,1,1,,"meat,smelly,,",,",,,,,,,,,,,",,,,,,"geofront,,,,",",,",,Fresh Meat,"Freshly harvested meat. It is high quality meat filled with fat, making it delicious to eat whether stewed or grilled.",新鮮な肉,取れたての新鮮な肉。脂ののった上質な肉で、煮ても焼いてもおいしく食べられる嬉しい食材
105,marbled-meat,24,Material,",",3,10,80,10,,1,1,1,"meat,medic-ing,,",,",,,,,,,,,,,",,,,,,"geofront,,,,",",,",,Marbled Meat,"Rare meat that can only be taken from certain animals. Its high price, high calories, and high protein make it a very high-class ingredient.",霜降りの肉,一部の動物からしかとれない希少な肉。高価格、高カロリー、高タンパクと三拍子揃った高級食材である
264,wild-pelt,25,Material,"transfer-pp-3,",1,1,50,15,1,,,,"pelt,animal,,",,",,,,,,,,,,,",,,,,,",,,,","stray-dog,,",,Wild Pelt,A pelt taken from a wild animal. These are widely circulated in various regions as a material for clothing and rugs.,野生の毛皮,野生のケモノからはぎ取った毛皮。洋服や絨毯などの材料として幅広い地域に流通している
265,superior-pelt,26,Material,",",2,6,70,25,,,,1,"pelt,animal,,",,",,,,,,,,,,,",,,,,,"geofront,,,,",",,",,Superior Pelt,"A high quality pelt taken from a wild animal. Its glossiness compared to common pelts makes it quite popular, and it's a favorite of the upper classes.",上等な毛皮,野生のケモノからはぎ取った上等な毛皮。一般的な毛皮とは一線を画すツヤが人気で、貴族を中心に愛用されている
106,shining-pelt,27,Material,",",3,13,80,15,1,1,,1,"pelt,animal,,",,",,,,,,,,,,,",,,,,,"geofront,,,,",",,",,Shining Pelt,"A shining golden pelt. Since tanning it would cause the color to fade, this high-class item requires specialized techniques to process. It is worn by people of particularly high status.",輝く毛皮,黄金に輝く毛皮。ただなめしただけでは、その色が褪せてしまうため、加工にも技術が必要な高級品。かなり高い身分の人々が身に付ける
266,animal-bone,28,Material,",",0,1,60,10,,1,,,"animal,,,",,",,,,,,,,,,,",,,,,,"sandy-ruins,spine-post,,,","butterfly-lizard,fairydrake,sand-drake",,Animal Bone,"A bone taken from some kind of animal. It can be sharpened into agricultural tools and other things, but it's not very commonly used.",ケモノの骨,何かしらのケモノから取れた骨。先端を研げば農耕道具などに加工できるが、あまり一般的でない
107,beast-bone,29,Material,"equipment-enhance,",2,10,70,15,,1,,,"animal,,,",,",,,,,,,,,,,",,,,,,"crystal-valley,seat-of-eternity,cape-of-the-end,,",",,",,Beast Bone,"An unusually large animal bone. However, nobody knows exactly what it came from. These are commonly used to make weapons and high-class ornaments.",巨獣の骨,異様に大きいケモノの骨。ただし、一体何の骨なのかは誰も知らない。武具や高級な飾りものに利用されることが多い
108,dragon-bone,30,Material,",",3,13,80,15,1,1,,,"dragon-material,,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,heaven-s-vine,seat-of-eternity,geofront,",",,",,Dragon Bone,"This bone is called a dragon bone due to its sheer size. It's a valuable item that fetches high prices, but the market is also filled with counterfeits. Due to its superior strength, it is also used as a high-class material for buildings and ships.",竜骨,その巨大さから竜骨と呼ばれる骨。高額で取引される貴重なものだが、市場には偽物も数多く存在する。強度に優れ、高級な建物や船の材料にも使われることがある
54,trash,31,Material,",",1,0,0,10,1,,,,"fuel,smelly,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,ancient-ruins,,,",",,",,Trash,"Trash found lying around the city. It's not worth much, but at least picking it up makes the city cleaner.",ゴミくず,街中に落ちているゴミ。価値はほとんどないが、拾った数だけ街がキレイになる
267,junk,32,Material,"recycle,",2,2,0,10,,1,,,"metal,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"ancient-ruins,forgotten-laboratory,,,","carrier,,",,Junk,"Various parts taken from ancient relics and other items. Most of them are broken, but some of it can be reused.",ジャンク品,前時代遺物などから抜き取られた様々な部品。壊れているものが多数であるが、それでも再利用できるものは多い
268,scrap-metal,33,Material,"recycle,",1,2,40,15,1,,,,"metal,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"abandoned-factory,ancient-ruins,,,","bullet-slag,dinosaur,ore-rat",,Scrap Metal,"It's completely unknown what this lump of iron was used for. It's fairly worthless in this state, and it's usually melted down and reprocessed before use.",くず鉄,元は何に使われていたのかさっぱりわからない鉄の塊。そのままではほとんど何の価値もないため、大抵は一度溶解してから再加工する
269,bent-screw,34,Material,"recycle,",1,2,30,10,,1,,,"metal,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"fertile-sea-northern-area,drifting-ghost-ship,ancient-ruins,sea-of-eternity,","porter,,",,Bent Screw,"A useless bent screw. Since it's unusable as a screw, it has to be reprocessed, but this is very difficult in the present era.",ゆがんだネジ,ゆがんでしまって使い物にならないネジ。ネジとしての利用価値はないため、再加工しなければどうにもできないが、現代では加工自体が難しい
10,rusty-cog,35,Material,"recycle,",1,2,30,15,,,,1,"metal,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,abandoned-factory,,,","gatekeeper,,",,Rusty Cog,"A metal cog that has rusted due to being left alone for a long time. It can be used, but it would probably be best to just replace it.",さびた歯車,長い間、放置されたためにさびついてしまった金属の歯車。かろうじて使うことはできるが、素直に取り替えたほうがいい
11,dark-iron-gear,36,Material,",",2,17,50,20,1,,,1,"metal,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,geofront,,,",",,",,Dark Iron Gear,"A shiny gear that has no rust or damage. They have various uses according to size, but are mainly used in ship dynamos, or even as automaton parts.",鈍色鉄の歯車,さびや痛みのないピカピカの歯車。大きさによって用途はさまざまで、主に船の動力、ときにオートマタの材料としても使われる
81,small-relic,37,Material,"recycle-plus,",1,8,70,20,,1,,,"metal,antique,ancient-power,ancient-relic",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,seat-of-eternity,hidden-cave,sea-of-eternity,",",,",,Small Relic,"A small relic said to be a remnant of the past era. Its use and value are unknown, but some researchers may be willing to pay a high price for it.",小さな遺物,前時代から残っていると思われる小さな遺物。用途や価値は一切わからないが、一部の研究者が高く買い取ってくれることがある
128,double-foot-component,38,Material,",",3,20,80,20,1,,,1,"metal,antique,ancient-power,ancient-relic",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,geofront,,,",",,",,Double Foot Component,"A relic of the past era found here and there. The two wires sprouting from it give it its name, but its use is unknown. It seems to contain the power of lightning.",二つ足の部品,そこかしこで見つかる前時代の遺物。二本の針金のようなものが生えているためこの名称が付けられているが、用途は不明。雷の力が封じられているらしい
270,mixed-oil,39,Material,"critical,",1,1,60,20,1,,1,,"liquid,oil,fuel,",,",,,,,,,,,,,",,,,,,"abandoned-factory,ancient-ruins,forgotten-laboratory,,",",,",,Mixed Oil,"Impure oil made from a mixture of various other things. However, it has many uses ranging from fuel to lubricant, and is actively traded in the market.",混ざり油,色々なものが混ざりあって純度が落ちた油。しかし、燃料から潤滑剤まで用途は多様で、市場では活発に取引されている
2,rabbit-fur,40,Material,",",1,2,50,15,,1,,,"thread,animal,,",,",,,,,,,,,,,",,,,,,",,,,","food-rabbit,honey-rabbit,juicysheep",,Rabbit Fur,"Fur taken from a Food Rabbit. Its fluffy texture is very popular, and can be found in many households for uses ranging from clothing to bedding.",ウサギ毛,食料ウサギから取れる毛。モコモコとした手触りが人気で、繊維として洋服にしたり、布団として利用したりと、一般家庭に幅広く浸透している
3,rabbit-horn,41,Material,",",2,2,70,20,1,,,,"animal,,,",,",,,,,,,,,,,",,,,,,"fertile-sea-northern-area,,,,",",,",,Rabbit Horn,A Food Rabbit's horn. It's in demand for use in accessories and interior design.,ウサギの角,食料ウサギの角。装飾品やインテリアとして一定の需要がある
4,sand-runner-feather,42,Material,",",1,4,50,10,,,,1,"animal,feather,,",,",,,,,,,,,,,",,,,,,"land-of-fallen-stars,,,,","sand-runner,metal-eater,strong-leg",,Sand Runner Feather,"The feather of a Sand Runner from the Dusk Sea. The beautifully layered colors from inside out are a unique feature, and it is commonly used as an accessory.",サンドランナーの羽根,黄昏の海を駆けるサンドランナーの羽根。内側から外側に向けて階層のように変化している美しい毛色が特徴で、主に装飾品に用いられる
5,sand-runner-tailfeather,43,Material,"speed-10,",2,2,70,15,,,,1,"animal,feather,thread,",,",,,,,,,,,,,",,,,,,"land-of-fallen-stars,,,,","sand-runner,metal-eater,strong-leg",,Sand Runner Tailfeather,"The tail feather of a Sand Runner from the Dusk Sea. The tail is parted into two, and it's said that if a couple holds onto one from each side, they will find fortune and happiness.",サンドランナーの尾羽,黄昏の海を駆けるサンドランナーの尻尾。二股に分かれた尾翼のような形状をしており、カップルで一つずつ持てば御利益があると言われている
